District,ELA_Proficiency,ELA_Proficiency_LowIncome,ELA_Proficiency_CWD,Math_Proficiency,Math_Proficiency_LowIncome,Math_Proficiency_CWD,Science_Proficiency,Science_Proficiency_LowIncome,Science_Proficiency_CWD
DURAND CUSD 322,66.9,52.0,32.4,59.9,49.3,29.4,43.8,,
DWIGHT COMMON SD 232,47.0,36.2,20.0,26.0,20.8,,44.9,33.3,
EARLVILLE CUSD 9,42.4,45.6,,40.8,37.3,,37.2,,
EAST ALTON SD 13,31.5,27.5,,18.4,14.3,,20.0,,
EAST COLOMA - NELSON CESD 20,65.7,52.6,,37.1,27.6,,59.1,,
EAST DUBUQUE USD 119,71.7,60.2,,59.2,48.4,,60.0,,
EAST MAINE SD 63,44.68,36.06,34.9,40.18,30.74,30.2,40.3,35.025,
EAST MOLINE SD 37,27.65,25.900000000000002,,18.9,17.733333333333334,,,,
EAST PEORIA SD 86,41.53333333333333,33.166666666666664,,41.13333333333333,32.13333333333333,,49.199999999999996,59.1,
EAST PRAIRIE SD 73,73.2,65.2,33.2,53.4,46.8,27.6,56.2,41.3,
EAST ST LOUIS SD 189,35.1,35.1,,22.2,22.2,,14.3,14.3,
EASTLAND CUSD 308,66.1,54.6,41.8,60.4,51.0,,68.6,47.6,
EDGAR COUNTY CUD 6,40.0,,,42.5,,,,,
EDINBURG CUSD 4,,,,,,,,,
EDWARDS COUNTY CUSD 1,73.75,66.2,27.8,42.85,37.2,,42.099999999999994,27.8,
EDWARDSVILLE CUSD 7,57.925,37.775,24.433333333333334,55.849999999999994,30.3,25.46666666666667,56.175,37.5,
EFFINGHAM CUSD 40,54.0,42.2,13.8,43.0,34.4,16.5,40.6,38.7,
EGYPTIAN CUSD 5,20.8,20.0,,,,,,,
EL PASO-GRIDLEY CUSD 11,56.4,44.6,,43.6,25.0,,,,
ELDORADO CUSD 4,41.5,33.3,26.7,48.3,38.9,32.7,23.9,,
ELGIN MATH AND SCIENCE ACADEMY CHARTER SCHOOL,48.1,37.5,25.0,30.5,21.8,,40.0,32.0,
ELMHURST SD 205,77.875,63.31666666666666,52.425,75.8625,40.86666666666667,52.862500000000004,68.175,19.2,63.23333333333333
ELMWOOD CUSD 322,64.0,51.1,34.2,60.0,33.3,28.9,41.3,,
ELMWOOD PARK CUSD 401,55.2,46.5,20.8,47.2,39.95,22.2,41.75,29.1,
ELVERADO CUSD 196,28.9,30.2,,30.3,28.3,,51.9,,
ELWOOD CCSD 203,57.5,48.5,27.0,51.7,36.8,,49.2,47.6,
EMMONS SD 33,68.7,59.8,39.6,55.9,41.2,31.8,56.1,,
ERIE CUSD 1,66.2,52.2,,74.8,61.9,,,,
ESD 159,32.3,28.849999999999998,,18.825,20.666666666666668,,24.7,,
ESWOOD CCSD 269,75.5,62.6,,69.6,54.9,,72.2,,
EUREKA CUD 140,79.96666666666667,42.6,,63.23333333333333,40.7,44.4,,,
EVANSTON CCSD 65,60.46666666666667,35.94166666666667,43.36,55.39166666666667,29.955555555555552,38.699999999999996,56.1,35.0,45.18
