,count,mean,std,min,25%,50%,75%,max,median,skew,kurtosis
Alanine (g),54.0,2.476464707055555,1.0814026998541635,0.737416667,1.75788664575,2.2002142855,3.0306375,5.738714286,2.2002142855,1.0046179503877524,0.7303842535442606
Aspartic Acid (g),54.0,4.973103280407408,2.234151482851306,1.47575,3.3666149069999998,4.570452381,6.28572240275,11.5952381,4.570452381,0.9246859114809273,0.5096118299676413
Glutamic Acid (g),54.0,12.471925156203703,5.7845291702172705,3.487055556,8.496939222750001,10.889986545,15.903825000000001,30.13271429,10.889986545,0.9695285734979942,0.5568934964121599
Glycine (g),54.0,2.0935429529444445,0.9233053280247056,0.682638889,1.463952381,1.760857143,2.65800357125,4.839571429,1.760857143,1.0436157056775697,0.5899013052288122
Proline (g),54.0,4.608010946870371,2.1517023436456992,1.256972222,3.1417073935,4.1213968255,5.67219493,11.14719048,4.1213968255,0.927715978108671,0.4939007067126626
Serine (g),54.0,2.8600379495370367,1.3310564863525685,0.741666667,1.967839599,2.606746032,3.555970779,6.984857143,2.606746032,0.9114509770858307,0.6200920787540882
Aspartame (mg),54.0,0.04761904761111112,0.34992710605356153,0.0,0.0,0.0,0.0,2.571428571,0.0,7.348469228349526,53.9999999999999
Caffeine (mg),54.0,1.6821389543333336,2.8212487041160537,0.0,0.011904762,0.2868571425,2.461904762,15.47519048,0.2868571425,2.7248161397308137,9.898799402595197
Phytic Acid (mg),54.0,517.9875058537036,337.3957472716068,142.0549167,294.992205675,391.719364,615.0910541750001,1624.571286,391.719364,1.540193139436461,1.880321968430263
Oxalic Acid (mg),54.0,94.79142177648147,52.49077526517773,34.82261905,58.7583928575,78.185813095,108.85270665,250.5795789,78.185813095,1.3860915489317978,1.5527632395547148
3-Methylhistidine (mg),54.0,7.258288600555555,3.791019179873026,2.65710984,4.55700357175,6.4093020835,8.79469702375,19.57657895,6.4093020835,1.4075407587085946,1.9258288682670313
Ash (g),54.0,13.711319041018518,6.270950167044543,4.079583333,9.13337061425,12.614742065,17.073858655000002,33.26314286,12.614742065,0.9981106039235188,1.016265807938726
Water (g),54.0,911.041452148148,482.08301242909613,172.3586667,514.643890375,947.0623326,1190.20186725,2630.647095,947.0623326,0.8254873330524746,1.759137741686359
% Calories from Fat,54.0,31.8262860687037,5.0977047429539715,22.11673913,28.6654999975,31.03340625,35.5186548075,44.75609524,31.03340625,0.3665211208494232,-0.2214719371517737
% Calories from Carbohydrate,54.0,52.03137106685186,5.527889990477445,36.63834783,49.167030957499996,53.079045115,55.596772182500004,60.24461905,53.079045115,-0.8046006096735213,0.5912141336606895
% Calories from Protein,54.0,16.171710757222222,1.8351864718476265,12.73575,14.7850495025,15.96191905,17.63975,20.50461905,15.96191905,0.5399425277653189,-0.29203536094958826
% Calories from MUFA,54.0,10.014276099481481,1.79512517079525,6.449782609,8.7582482145,9.6042954545,11.1160372425,14.7147619,9.6042954545,0.6488567818349471,0.12172346788687483
% Calories from PUFA,54.0,8.106479066277778,1.740422625428543,4.920619048,6.76636904725,8.029399999999999,9.722175,11.87465217,8.029399999999999,0.13934677491641284,-0.8108041130429813
Polyunsaturated to Saturated Fat Ratio,54.0,0.8307581345555555,0.175721432345942,0.532714286,0.7039166665,0.8406132355,0.949795113,1.459761905,0.8406132355,0.816724658505704,1.7216345222517657
Cholesterol to Saturated Fatty Acid Index,54.0,25.646923157648146,12.1223979643301,8.240388889,19.3185439,23.076284615,28.812854165,73.51557143,23.076284615,1.5500089792580656,3.6679806129999366
Total Vitamin A Activity (Retinol Equivalents) (mcg),54.0,909.1500711796298,460.6857290906676,159.8944762,634.4731592999999,817.01864525,1122.8826625000002,2157.801048,817.01864525,0.7450369626699516,0.30959664290377775
TRANS 18:1 (trans-octadecenoic acid) (g),54.0,1.2591000830370367,0.6817563645409325,0.422666667,0.86545,1.149664787,1.44721611725,3.828333333,1.149664787,2.0918411878807235,5.781304764782327
TRANS 18:2 (trans-octadecadienoic acid) (g),54.0,0.22921534805555552,0.12054393365039597,0.08075,0.15071753225,0.1963184525,0.27104761925,0.701142857,0.1963184525,1.6331733968567756,3.6074582353689917
Total Trans-Fatty Acids (TRANS) (g),54.0,1.542319614,0.82324903361993,0.540277778,1.0583204885000002,1.411612782,1.80259890125,4.743857143,1.411612782,2.029858973871294,5.447695889966573
Beta-Carotene (provitamin A carotenoid) (mcg),54.0,2247.1131794407406,1306.1670769254035,188.8555,1341.2935065000001,2045.739059,2897.6725002499998,5389.085238,2045.739059,0.6945730430386811,-0.015080673506559172
Alpha-Carotene (provitamin A carotenoid) (mcg),54.0,694.0709913100001,455.79956179890513,16.49304762,360.47815587499997,605.5617595,900.766398475,1901.059476,605.5617595,0.8693155540647285,0.5027744624721233
Beta-Cryptoxanthin (provitamin A carotenoid) (mcg),54.0,85.79969038038888,47.34406685826367,2.901095238,57.472323595,76.815511275,116.29546429999999,253.1650208,76.815511275,1.0250874273847133,2.2050134451115686
Lutein + Zeaxanthin (mcg),54.0,841.1125054407406,386.7027953254076,146.6374286,585.61405745,810.9452929500001,1021.55739425,2271.323368,810.9452929500001,1.1197927484354038,2.594531923989876
Lycopene (mcg),54.0,2844.600637653704,1658.6188598155416,736.1736316,1674.566315,2236.3257750000002,3785.1202225,7142.378286,2236.3257750000002,1.106729230780526,0.24698743751662278
Dietary Folate Equivalents (mcg),54.0,332.1250537648149,157.6217266832652,106.5140556,219.643626275,281.7363556,417.81580652499997,779.6015833,281.7363556,1.00418914586349,0.3829591502028058
Natural Folate (food folate) (mcg),54.0,153.8446563498148,74.28466745076848,47.91002778,106.330540325,135.46859525,182.59776069999998,375.2805208,135.46859525,1.1738194420956862,1.2477086757947728
Synthetic Folate (folic acid) (mcg),54.0,104.86722624907408,55.393491521695836,34.48358333,65.1230423925,87.468829185,136.50591409999998,259.1905714,87.468829185,1.040493228577746,0.25052056840389403
Total Vitamin A Activity (Retinol Activity Equivalents) (mcg),54.0,689.3959364944444,366.4537477771649,142.2491905,457.49881435000003,625.2705357,836.034892825,1829.44519,625.2705357,0.9752889800438073,1.11731693066146
